2015-01-12 09:50:17
Mode;Output voltage (V);Voltage Measured (V);Min Voltage (V);Max Voltage (V);Average Voltage (V);Output Current (A);Current Measured (A);Min Current (A);Max Current (A);Average Current (A);Average Power (W);Resistance (ohm);Time
Source Voltage;-0,3;-0,2993;-0,2993;-0,2993;0,0000;0,08072;-0,01416;-0,01416;-0,01416;-0,01416;0,0000;21,1;2015-01-12 09:50:18
Source Voltage;-0,2500;-0,2495;-0,2993;0,0000;0,0000;0,08072;-0,01412;-0,01416;-0,01412;-0,01414;0,0000;17,7;2015-01-12 09:50:19
Source Voltage;-0,2000;-0,1996;-0,2993;0,0000;0,0000;0,08072;-0,01402;-0,01416;-0,01402;-0,0141;0,0000;14,2;2015-01-12 09:50:19
Source Voltage;-0,1500;-0,1490;-0,2993;0,0000;0,0000;0,08072;-0,01394;-0,01416;-0,01394;-0,01406;0,0000;10,7;2015-01-12 09:50:20
Source Voltage;-0,1000;-0,0990;-0,2993;0,0000;0,0000;0,08072;-0,01386;-0,01416;-0,01386;-0,01402;0,0000;7,1;2015-01-12 09:50:20
Source Voltage;-0,0500;-0,0491;-0,2993;0,0000;0,0000;0,08072;-0,01374;-0,01416;-0,01374;-0,01397;0,0000;3,6;2015-01-12 09:50:21
Source Voltage;0,0000;0,0010;-0,2993;0,0000;0,0000;0,08072;-0,0136;-0,01416;-0,0136;-0,01392;0,0000;0,1;2015-01-12 09:50:22
Source Voltage;0,0500;0,0513;-0,2993;0,0000;0,0000;0,08072;-0,01348;-0,01416;-0,01348;-0,01386;0,0000;3,8;2015-01-12 09:50:22
Source Voltage;0,1000;0,1012;-0,2993;0,0000;0,0000;0,08072;-0,01328;-0,01416;-0,01328;-0,0138;0,0000;7,6;2015-01-12 09:50:23
Source Voltage;0,1500;0,1508;-0,2993;0,0000;0,0000;0,08072;-0,01298;-0,01416;-0,01298;-0,01372;0,0000;11,6;2015-01-12 09:50:23
Source Voltage;0,2000;0,2009;-0,2993;0,0000;0,0000;0,08072;-0,01264;-0,01416;-0,01264;-0,01362;0,0000;15,9;2015-01-12 09:50:24
Source Voltage;0,2500;0,2508;-0,2993;0,0000;0,0000;0,08072;-0,01206;-0,01416;-0,01206;-0,01349;0,0000;20,8;2015-01-12 09:50:25
Source Voltage;0,3000;0,3009;-0,2993;0,0000;0,0000;0,08072;-0,01112;-0,01416;-0,01112;-0,01331;0,0000;27,1;2015-01-12 09:50:25
Source Voltage;0,3500;0,3507;-0,2993;0,0000;0,0000;0,08072;-0,00955;-0,01416;-0,00955;-0,01304;0,0000;36,7;2015-01-12 09:50:26
Source Voltage;0,4000;0,4011;-0,2993;0,0000;0,0000;0,08072;-0,00704;-0,01416;-0,00704;-0,01264;0,0000;57;2015-01-12 09:50:26
Source Voltage;0,4500;0,4506;-0,2993;0,0000;0,0000;0,08072;-0,00326;-0,01416;-0,00326;-0,01205;0,0000;138,2;2015-01-12 09:50:27
Source Voltage;0,5000;0,5004;-0,2993;0,0000;0,0000;0,08072;0,00204;-0,01416;0,00204;-0,01122;0,0000;245,3;2015-01-12 09:50:28
Source Voltage;0,5500;0,5507;-0,2993;0,0000;0,0000;0,08072;0,00914;-0,01416;0,00914;-0,01009;0,0000;60,3;2015-01-12 09:50:28
Source Voltage;0,6000;0,6003;-0,2993;0,0000;0,0000;0,08072;0,01784;-0,01416;0,01784;-0,00862;0,0000;33,6;2015-01-12 09:50:29
