2015-01-12 11:45:21
Mode;Output voltage (V);Voltage Measured (V);Min Voltage (V);Max Voltage (V);Average Voltage (V);Output Current (A);Current Measured (A);Min Current (A);Max Current (A);Average Current (A);Average Power (W);Resistance (ohm);Time
Source Voltage;-0,3;-0,2988;-0,2988;-0,2988;0,0000;0,08072;-0,01641;-0,01641;-0,01641;-0,01641;0,0000;18,2;2015-01-12 11:45:22
Source Voltage;-0,2500;-0,2490;-0,2988;0,0000;0,0000;0,08072;-0,01632;-0,01641;-0,01632;-0,01637;0,0000;15,3;2015-01-12 11:45:22
Source Voltage;-0,2000;-0,1991;-0,2988;0,0000;0,0000;0,08072;-0,01622;-0,01641;-0,01622;-0,01632;0,0000;12,3;2015-01-12 11:45:23
Source Voltage;-0,1500;-0,1493;-0,2988;0,0000;0,0000;0,08072;-0,01612;-0,01641;-0,01612;-0,01627;0,0000;9,3;2015-01-12 11:45:23
Source Voltage;-0,1000;-0,0992;-0,2988;0,0000;0,0000;0,08072;-0,01598;-0,01641;-0,01598;-0,01621;0,0000;6,2;2015-01-12 11:45:24
Source Voltage;-0,0500;-0,0483;-0,2988;0,0000;0,0000;0,08072;-0,01582;-0,01641;-0,01582;-0,01615;0,0000;3,1;2015-01-12 11:45:25
Source Voltage;0,0000;0,0010;-0,2988;0,0000;0,0000;0,08072;-0,0156;-0,01641;-0,0156;-0,01607;0,0000;0,1;2015-01-12 11:45:25
Source Voltage;0,0500;0,0513;-0,2988;0,0000;0,0000;0,08072;-0,01536;-0,01641;-0,01536;-0,01598;0,0000;3,3;2015-01-12 11:45:26
Source Voltage;0,1000;0,1011;-0,2988;0,0000;0,0000;0,08072;-0,01504;-0,01641;-0,01504;-0,01588;0,0000;6,7;2015-01-12 11:45:26
Source Voltage;0,1500;0,1509;-0,2988;0,0000;0,0000;0,08072;-0,0146;-0,01641;-0,0146;-0,01575;0,0000;10,3;2015-01-12 11:45:27
Source Voltage;0,2000;0,2009;-0,2988;0,0000;0,0000;0,08072;-0,01398;-0,01641;-0,01398;-0,01559;0,0000;14,4;2015-01-12 11:45:28
Source Voltage;0,2500;0,2512;-0,2988;0,0000;0,0000;0,08072;-0,01308;-0,01641;-0,01308;-0,01538;0,0000;19,2;2015-01-12 11:45:28
Source Voltage;0,3000;0,3010;-0,2988;0,0000;0,0000;0,08072;-0,0118;-0,01641;-0,0118;-0,0151;0,0000;25,5;2015-01-12 11:45:29
Source Voltage;0,3500;0,3509;-0,2988;0,0000;0,0000;0,08072;-0,00994;-0,01641;-0,00994;-0,01473;0,0000;35,3;2015-01-12 11:45:29
Source Voltage;0,4000;0,4010;-0,2988;0,0000;0,0000;0,08072;-0,00738;-0,01641;-0,00738;-0,01424;0,0000;54,3;2015-01-12 11:45:30
Source Voltage;0,4500;0,4506;-0,2988;0,0000;0,0000;0,08072;-0,00404;-0,01641;-0,00404;-0,0136;0,0000;111,5;2015-01-12 11:45:31
Source Voltage;0,5000;0,5008;-0,2988;0,0000;0,0000;0,08072;0,0002;-0,01641;0,0002;-0,01279;0,0000;2504;2015-01-12 11:45:31
Source Voltage;0,5500;0,5505;-0,2988;0,0000;0,0000;0,08072;0,00516;-0,01641;0,00516;-0,01179;0,0000;106,7;2015-01-12 11:45:32
Source Voltage;0,6000;0,6006;-0,2988;0,0000;0,0000;0,08072;0,01058;-0,01641;0,01058;-0,01061;0,0000;56,8;2015-01-12 11:45:32
