2015-01-12 08:51:20
Mode;Output voltage (V);Voltage Measured (V);Min Voltage (V);Max Voltage (V);Average Voltage (V);Output Current (A);Current Measured (A);Min Current (A);Max Current (A);Average Current (A);Average Power (W);Resistance (ohm);Time
Source Voltage;-0,3;-0,2999;-0,2999;-0,2999;0,0000;0,08072;-0,01614;-0,01614;-0,01614;-0,01614;0,0000;18,6;2015-01-12 08:51:21
Source Voltage;-0,2500;-0,2498;-0,2999;0,0000;0,0000;0,08072;-0,01604;-0,01614;-0,01604;-0,01609;0,0000;15,6;2015-01-12 08:51:21
Source Voltage;-0,2000;-0,1998;-0,2999;0,0000;0,0000;0,08072;-0,01594;-0,01614;-0,01594;-0,01604;0,0000;12,5;2015-01-12 08:51:22
Source Voltage;-0,1500;-0,1496;-0,2999;0,0000;0,0000;0,08072;-0,01584;-0,01614;-0,01584;-0,01599;0,0000;9,4;2015-01-12 08:51:23
Source Voltage;-0,1000;-0,0992;-0,2999;0,0000;0,0000;0,08072;-0,01566;-0,01614;-0,01566;-0,01592;0,0000;6,3;2015-01-12 08:51:23
Source Voltage;-0,0500;-0,0494;-0,2999;0,0000;0,0000;0,08072;-0,01544;-0,01614;-0,01544;-0,01584;0,0000;3,2;2015-01-12 08:51:24
Source Voltage;0,0000;0,0007;-0,2999;0,0000;0,0000;0,08072;-0,01524;-0,01614;-0,01524;-0,01575;0,0000;0;2015-01-12 08:51:24
Source Voltage;0,0500;0,0511;-0,2999;0,0000;0,0000;0,08072;-0,01494;-0,01614;-0,01494;-0,01565;0,0000;3,4;2015-01-12 08:51:25
Source Voltage;0,1000;0,1011;-0,2999;0,0000;0,0000;0,08072;-0,01452;-0,01614;-0,01452;-0,01552;0,0000;7;2015-01-12 08:51:26
Source Voltage;0,1500;0,1504;-0,2999;0,0000;0,0000;0,08072;-0,01394;-0,01614;-0,01394;-0,01536;0,0000;10,8;2015-01-12 08:51:26
Source Voltage;0,2000;0,2007;-0,2999;0,0000;0,0000;0,08072;-0,01318;-0,01614;-0,01318;-0,01516;0,0000;15,2;2015-01-12 08:51:27
Source Voltage;0,2500;0,2505;-0,2999;0,0000;0,0000;0,08072;-0,01212;-0,01614;-0,01212;-0,01491;0,0000;20,7;2015-01-12 08:51:27
Source Voltage;0,3000;0,3008;-0,2999;0,0000;0,0000;0,08072;-0,01064;-0,01614;-0,01064;-0,01458;0,0000;28,3;2015-01-12 08:51:28
Source Voltage;0,3500;0,3504;-0,2999;0,0000;0,0000;0,08072;-0,00876;-0,01614;-0,00876;-0,01416;0,0000;40;2015-01-12 08:51:29
Source Voltage;0,4000;0,4006;-0,2999;0,0000;0,0000;0,08072;-0,00622;-0,01614;-0,00622;-0,01363;0,0000;64,4;2015-01-12 08:51:29
Source Voltage;0,4500;0,4510;-0,2999;0,0000;0,0000;0,08072;-0,00294;-0,01614;-0,00294;-0,01296;0,0000;153,4;2015-01-12 08:51:30
Source Voltage;0,5000;0,5007;-0,2999;0,0000;0,0000;0,08072;0,00122;-0,01614;0,00122;-0,01213;0,0000;410,4;2015-01-12 08:51:30
Source Voltage;0,5500;0,5509;-0,2999;0,0000;0,0000;0,08072;0,00614;-0,01614;0,00614;-0,01112;0,0000;89,7;2015-01-12 08:51:31
Source Voltage;0,6000;0,6002;-0,2999;0,0000;0,0000;0,08072;0,0117;-0,01614;0,0117;-0,00992;0,0000;51,3;2015-01-12 08:51:32
