2015-01-12 11:53:13
Mode;Output voltage (V);Voltage Measured (V);Min Voltage (V);Max Voltage (V);Average Voltage (V);Output Current (A);Current Measured (A);Min Current (A);Max Current (A);Average Current (A);Average Power (W);Resistance (ohm);Time
Source Voltage;-0,3;-0,2990;-0,2990;-0,2990;0,0000;0,08072;-0,01898;-0,01898;-0,01898;-0,01898;0,0000;15,8;2015-01-12 11:53:13
Source Voltage;-0,2500;-0,2488;-0,2990;0,0000;0,0000;0,08072;-0,01898;-0,01898;-0,01898;-0,01898;0,0000;13,1;2015-01-12 11:53:14
Source Voltage;-0,2000;-0,1992;-0,2990;0,0000;0,0000;0,08072;-0,0189;-0,01898;-0,0189;-0,01895;0,0000;10,5;2015-01-12 11:53:14
Source Voltage;-0,1500;-0,1489;-0,2990;0,0000;0,0000;0,08072;-0,01882;-0,01898;-0,01882;-0,01892;0,0000;7,9;2015-01-12 11:53:15
Source Voltage;-0,1000;-0,0989;-0,2990;0,0000;0,0000;0,08072;-0,01878;-0,01898;-0,01878;-0,01889;0,0000;5,3;2015-01-12 11:53:16
Source Voltage;-0,0500;-0,0485;-0,2990;0,0000;0,0000;0,08072;-0,0187;-0,01898;-0,0187;-0,01886;0,0000;2,6;2015-01-12 11:53:16
Source Voltage;0,0000;0,0019;-0,2990;0,0000;0,0000;0,08072;-0,01858;-0,01898;-0,01858;-0,01882;0,0000;0,1;2015-01-12 11:53:17
Source Voltage;0,0500;0,0512;-0,2990;0,0000;0,0000;0,08072;-0,01846;-0,01898;-0,01846;-0,01877;0,0000;2,8;2015-01-12 11:53:17
Source Voltage;0,1000;0,1015;-0,2990;0,0000;0,0000;0,08072;-0,01824;-0,01898;-0,01824;-0,01871;0,0000;5,6;2015-01-12 11:53:18
Source Voltage;0,1500;0,1509;-0,2990;0,0000;0,0000;0,08072;-0,01793;-0,01898;-0,01793;-0,01863;0,0000;8,4;2015-01-12 11:53:19
Source Voltage;0,2000;0,2012;-0,2990;0,0000;0,0000;0,08072;-0,01748;-0,01898;-0,01748;-0,01853;0,0000;11,5;2015-01-12 11:53:19
Source Voltage;0,2500;0,2511;-0,2990;0,0000;0,0000;0,08072;-0,01672;-0,01898;-0,01672;-0,01838;0,0000;15;2015-01-12 11:53:20
Source Voltage;0,3000;0,3009;-0,2990;0,0000;0,0000;0,08072;-0,01558;-0,01898;-0,01558;-0,01816;0,0000;19,3;2015-01-12 11:53:20
Source Voltage;0,3500;0,3511;-0,2990;0,0000;0,0000;0,08072;-0,01376;-0,01898;-0,01376;-0,01785;0,0000;25,5;2015-01-12 11:53:21
Source Voltage;0,4000;0,4009;-0,2990;0,0000;0,0000;0,08072;-0,01108;-0,01898;-0,01108;-0,0174;0,0000;36,2;2015-01-12 11:53:22
Source Voltage;0,4500;0,4508;-0,2990;0,0000;0,0000;0,08072;-0,00736;-0,01898;-0,00736;-0,01677;0,0000;61,2;2015-01-12 11:53:22
Source Voltage;0,5000;0,5007;-0,2990;0,0000;0,0000;0,08072;-0,00258;-0,01898;-0,00258;-0,01594;0,0000;194,1;2015-01-12 11:53:23
Source Voltage;0,5500;0,5508;-0,2990;0,0000;0,0000;0,08072;0,00308;-0,01898;0,00308;-0,01488;0,0000;178,8;2015-01-12 11:53:24
Source Voltage;0,6000;0,6008;-0,2990;0,0000;0,0000;0,08072;0,00926;-0,01898;0,00926;-0,01361;0,0000;64,9;2015-01-12 11:53:24
