2015-01-12 11:58:22
Mode;Output voltage (V);Voltage Measured (V);Min Voltage (V);Max Voltage (V);Average Voltage (V);Output Current (A);Current Measured (A);Min Current (A);Max Current (A);Average Current (A);Average Power (W);Resistance (ohm);Time
Source Voltage;-0,3;-0,2990;-0,2990;-0,2990;0,0000;0,08072;-0,01838;-0,01838;-0,01838;-0,01838;0,0000;16,3;2015-01-12 11:58:22
Source Voltage;-0,2500;-0,2490;-0,2990;0,0000;0,0000;0,08072;-0,01834;-0,01838;-0,01834;-0,01836;0,0000;13,6;2015-01-12 11:58:23
Source Voltage;-0,2000;-0,1993;-0,2990;0,0000;0,0000;0,08072;-0,0183;-0,01838;-0,0183;-0,01834;0,0000;10,9;2015-01-12 11:58:24
Source Voltage;-0,1500;-0,1493;-0,2990;0,0000;0,0000;0,08072;-0,0182;-0,01838;-0,0182;-0,01831;0,0000;8,2;2015-01-12 11:58:24
Source Voltage;-0,1000;-0,0992;-0,2990;0,0000;0,0000;0,08072;-0,01814;-0,01838;-0,01814;-0,01828;0,0000;5,5;2015-01-12 11:58:25
Source Voltage;-0,0500;-0,0488;-0,2990;0,0000;0,0000;0,08072;-0,01796;-0,01838;-0,01796;-0,01823;0,0000;2,7;2015-01-12 11:58:25
Source Voltage;0,0000;0,0018;-0,2990;0,0000;0,0000;0,08072;-0,01784;-0,01838;-0,01784;-0,01817;0,0000;0,1;2015-01-12 11:58:26
Source Voltage;0,0500;0,0511;-0,2990;0,0000;0,0000;0,08072;-0,01766;-0,01838;-0,01766;-0,01811;0,0000;2,9;2015-01-12 11:58:27
Source Voltage;0,1000;0,1014;-0,2990;0,0000;0,0000;0,08072;-0,0174;-0,01838;-0,0174;-0,01803;0,0000;5,8;2015-01-12 11:58:27
Source Voltage;0,1500;0,1516;-0,2990;0,0000;0,0000;0,08072;-0,017;-0,01838;-0,017;-0,01793;0,0000;8,9;2015-01-12 11:58:28
Source Voltage;0,2000;0,2009;-0,2990;0,0000;0,0000;0,08072;-0,01643;-0,01838;-0,01643;-0,01779;0,0000;12,2;2015-01-12 11:58:29
Source Voltage;0,2500;0,2512;-0,2990;0,0000;0,0000;0,08072;-0,01552;-0,01838;-0,01552;-0,0176;0,0000;16,2;2015-01-12 11:58:29
Source Voltage;0,3000;0,3013;-0,2990;0,0000;0,0000;0,08072;-0,01416;-0,01838;-0,01416;-0,01734;0,0000;21,3;2015-01-12 11:58:30
Source Voltage;0,3500;0,3509;-0,2990;0,0000;0,0000;0,08072;-0,01214;-0,01838;-0,01214;-0,01697;0,0000;28,9;2015-01-12 11:58:30
Source Voltage;0,4000;0,4010;-0,2990;0,0000;0,0000;0,08072;-0,00932;-0,01838;-0,00932;-0,01646;0,0000;43;2015-01-12 11:58:31
Source Voltage;0,4500;0,4508;-0,2990;0,0000;0,0000;0,08072;-0,00568;-0,01838;-0,00568;-0,01579;0,0000;79,4;2015-01-12 11:58:32
Source Voltage;0,5000;0,5007;-0,2990;0,0000;0,0000;0,08072;-0,00136;-0,01838;-0,00136;-0,01494;0,0000;368,2;2015-01-12 11:58:32
Source Voltage;0,5500;0,5510;-0,2990;0,0000;0,0000;0,08072;0,0033;-0,01838;0,0033;-0,01393;0,0000;167;2015-01-12 11:58:33
Source Voltage;0,6000;0,6006;-0,2990;0,0000;0,0000;0,08072;0,00814;-0,01838;0,00814;-0,01277;0,0000;73,8;2015-01-12 11:58:33
