2015-01-12 11:44:00
Mode;Output voltage (V);Voltage Measured (V);Min Voltage (V);Max Voltage (V);Average Voltage (V);Output Current (A);Current Measured (A);Min Current (A);Max Current (A);Average Current (A);Average Power (W);Resistance (ohm);Time
Source Voltage;-0,3;-0,2993;-0,2993;-0,2993;0,0000;0,08072;-0,01496;-0,01496;-0,01496;-0,01496;0,0000;20;2015-01-12 11:44:01
Source Voltage;-0,2500;-0,2491;-0,2993;0,0000;0,0000;0,08072;-0,0148;-0,01496;-0,0148;-0,01488;0,0000;16,8;2015-01-12 11:44:02
Source Voltage;-0,2000;-0,1992;-0,2993;0,0000;0,0000;0,08072;-0,0146;-0,01496;-0,0146;-0,01479;0,0000;13,6;2015-01-12 11:44:02
Source Voltage;-0,1500;-0,1492;-0,2993;0,0000;0,0000;0,08072;-0,01438;-0,01496;-0,01438;-0,01469;0,0000;10,4;2015-01-12 11:44:03
Source Voltage;-0,1000;-0,0988;-0,2993;0,0000;0,0000;0,08072;-0,0141;-0,01496;-0,0141;-0,01457;0,0000;7;2015-01-12 11:44:03
Source Voltage;-0,0500;-0,0486;-0,2993;0,0000;0,0000;0,08072;-0,01378;-0,01496;-0,01378;-0,01444;0,0000;3,5;2015-01-12 11:44:04
Source Voltage;0,0000;0,0012;-0,2993;0,0000;0,0000;0,08072;-0,0134;-0,01496;-0,0134;-0,01429;0,0000;0,1;2015-01-12 11:44:05
Source Voltage;0,0500;0,0511;-0,2993;0,0000;0,0000;0,08072;-0,01288;-0,01496;-0,01288;-0,01411;0,0000;4;2015-01-12 11:44:05
Source Voltage;0,1000;0,1014;-0,2993;0,0000;0,0000;0,08072;-0,01226;-0,01496;-0,01226;-0,0139;0,0000;8,3;2015-01-12 11:44:06
Source Voltage;0,1500;0,1510;-0,2993;0,0000;0,0000;0,08072;-0,01144;-0,01496;-0,01144;-0,01365;0,0000;13,2;2015-01-12 11:44:06
Source Voltage;0,2000;0,2010;-0,2993;0,0000;0,0000;0,08072;-0,01036;-0,01496;-0,01036;-0,01335;0,0000;19,4;2015-01-12 11:44:07
Source Voltage;0,2500;0,2508;-0,2993;0,0000;0,0000;0,08072;-0,00898;-0,01496;-0,00898;-0,01299;0,0000;27,9;2015-01-12 11:44:08
Source Voltage;0,3000;0,3010;-0,2993;0,0000;0,0000;0,08072;-0,00724;-0,01496;-0,00724;-0,01255;0,0000;41,6;2015-01-12 11:44:08
Source Voltage;0,3500;0,3508;-0,2993;0,0000;0,0000;0,08072;-0,00499;-0,01496;-0,00499;-0,01201;0,0000;70,3;2015-01-12 11:44:09
Source Voltage;0,4000;0,4012;-0,2993;0,0000;0,0000;0,08072;-0,00206;-0,01496;-0,00206;-0,01135;0,0000;194,8;2015-01-12 11:44:09
Source Voltage;0,4500;0,4503;-0,2993;0,0000;0,0000;0,08072;0,00162;-0,01496;0,00162;-0,01054;0,0000;278;2015-01-12 11:44:10
Source Voltage;0,5000;0,5012;-0,2993;0,0000;0,0000;0,08072;0,00638;-0,01496;0,00638;-0,00954;0,0000;78,6;2015-01-12 11:44:11
Source Voltage;0,5500;0,5505;-0,2993;0,0000;0,0000;0,08072;0,0122;-0,01496;0,0122;-0,00833;0,0000;45,1;2015-01-12 11:44:11
Source Voltage;0,6000;0,6001;-0,2993;0,0000;0,0000;0,08072;0,01904;-0,01496;0,01904;-0,00689;0,0000;31,5;2015-01-12 11:44:12
