File name;Vmp;Imp;Pmp;Voc;Isc;FF;Eta
1.csv;0.2004;0.00238;0.00047695;0.29602;0.0042703;37.7311;0.52995
File name;Vmp;Imp;Pmp;Voc;Isc;FF;Eta
2.csv;0.2009;0.00478;0.0009603;0.30541;0.0080093;39.2578;1.067
File name;Vmp;Imp;Pmp;Voc;Isc;FF;Eta
3.csv;0.2003;0.00524;0.0010496;0.31322;0.0089403;37.4807;1.1662
File name;Vmp;Imp;Pmp;Voc;Isc;FF;Eta
4.csv;0.2002;0.00542;0.0010851;0.31444;0.0092196;37.4294;1.2056
File name;Vmp;Imp;Pmp;Voc;Isc;FF;Eta
5.csv;0.2003;0.00511;0.0010235;0.3127;0.008953;36.56;1.1373
File name;Vmp;Imp;Pmp;Voc;Isc;FF;Eta
6.csv;0.2005;0.00558;0.0011188;0.3209;0.009266;37.626;1.2431
File name;Vmp;Imp;Pmp;Voc;Isc;FF;Eta
7.csv;0.2007;0.00602;0.0012082;0.33211;0.0095805;37.9733;1.3425
File name;Vmp;Imp;Pmp;Voc;Isc;FF;Eta
8.csv;0.2004;0.00652;0.0013066;0.33588;0.010087;38.5663;1.4518
File name;Vmp;Imp;Pmp;Voc;Isc;FF;Eta
9.csv;0.201;0.00658;0.0013226;0.31219;0.010256;41.3074;1.4695
File name;Vmp;Imp;Pmp;Voc;Isc;FF;Eta
10.csv;0.201;0.0056;0.0011256;0.30865;0.0090289;40.3908;1.2507
File name;Vmp;Imp;Pmp;Voc;Isc;FF;Eta
11.csv;0.2007;0.00286;0.000574;0.30467;0.0048572;38.7877;0.63778
File name;Vmp;Imp;Pmp;Voc;Isc;FF;Eta
12.csv;0.2003;0.00466;0.0009334;0.30373;0.0080446;38.2002;1.0371
File name;Vmp;Imp;Pmp;Voc;Isc;FF;Eta
13.csv;0.2009;0.00612;0.0012295;0.30714;0.010083;39.7001;1.3661
File name;Vmp;Imp;Pmp;Voc;Isc;FF;Eta
14.csv;0.2003;0.0062;0.0012419;0.32121;0.009758;39.6211;1.3798
File name;Vmp;Imp;Pmp;Voc;Isc;FF;Eta
15.csv;0.2003;0.00658;0.001318;0.33242;0.010074;39.3551;1.4644
File name;Vmp;Imp;Pmp;Voc;Isc;FF;Eta
16.csv;0.2003;0.00758;0.0015183;0.35117;0.010786;40.0835;1.687
File name;Vmp;Imp;Pmp;Voc;Isc;FF;Eta
17.csv;0.2505;0.0068;0.0017034;0.37354;0.011251;40.5302;1.8927
File name;Vmp;Imp;Pmp;Voc;Isc;FF;Eta
18.csv;0.2505;0.00744;0.0018637;0.39397;0.011338;41.7246;2.0708
File name;Vmp;Imp;Pmp;Voc;Isc;FF;Eta
19.csv;0.2504;0.00852;0.0021334;0.41493;0.012245;41.989;2.3705
File name;Vmp;Imp;Pmp;Voc;Isc;FF;Eta
20.csv;0.251;0.00922;0.0023142;0.40489;0.0124;46.0936;2.5714
File name;Vmp;Imp;Pmp;Voc;Isc;FF;Eta
21.csv;0.2512;0.00836;0.0021;0.37862;0.012053;46.0172;2.3334
File name;Vmp;Imp;Pmp;Voc;Isc;FF;Eta
22.csv;0.2004;0.00778;0.0015591;0.35185;0.010953;40.4575;1.7323
File name;Vmp;Imp;Pmp;Voc;Isc;FF;Eta
23.csv;0.2007;0.00252;0.00050576;0.29222;0.0043287;39.9832;0.56196
