2015-01-12 08:41:31
Mode;Output voltage (V);Voltage Measured (V);Min Voltage (V);Max Voltage (V);Average Voltage (V);Output Current (A);Current Measured (A);Min Current (A);Max Current (A);Average Current (A);Average Power (W);Resistance (ohm);Time
Source Voltage;-0,3;-0,2997;-0,2997;-0,2997;0,0000;0,08072;-0,00532;-0,00532;-0,00532;-0,00532;0,0000;56,3;2015-01-12 08:41:31
Source Voltage;-0,2500;-0,2495;-0,2997;0,0000;0,0000;0,08072;-0,00516;-0,00532;-0,00516;-0,00524;0,0000;48,4;2015-01-12 08:41:32
Source Voltage;-0,2000;-0,1997;-0,2997;0,0000;0,0000;0,08072;-0,00503;-0,00532;-0,00503;-0,00517;0,0000;39,7;2015-01-12 08:41:32
Source Voltage;-0,1500;-0,1494;-0,2997;0,0000;0,0000;0,08072;-0,00488;-0,00532;-0,00488;-0,0051;0,0000;30,6;2015-01-12 08:41:33
Source Voltage;-0,1000;-0,0997;-0,2997;0,0000;0,0000;0,08072;-0,00472;-0,00532;-0,00472;-0,00502;0,0000;21,1;2015-01-12 08:41:34
Source Voltage;-0,0500;-0,0495;-0,2997;0,0000;0,0000;0,08072;-0,00454;-0,00532;-0,00454;-0,00494;0,0000;10,9;2015-01-12 08:41:34
Source Voltage;0,0000;0,0005;-0,2997;0,0000;0,0000;0,08072;-0,00434;-0,00532;-0,00434;-0,00485;0,0000;0,1;2015-01-12 08:41:35
Source Voltage;0,0500;0,0504;-0,2997;0,0000;0,0000;0,08072;-0,0041;-0,00532;-0,0041;-0,00476;0,0000;12,3;2015-01-12 08:41:35
Source Voltage;0,1000;0,1005;-0,2997;0,0000;0,0000;0,08072;-0,00376;-0,00532;-0,00376;-0,00465;0,0000;26,7;2015-01-12 08:41:36
Source Voltage;0,1500;0,1503;-0,2997;0,0000;0,0000;0,08072;-0,00326;-0,00532;-0,00326;-0,00451;0,0000;46,1;2015-01-12 08:41:37
Source Voltage;0,2000;0,2007;-0,2997;0,0000;0,0000;0,08072;-0,00252;-0,00532;-0,00252;-0,00433;0,0000;79,6;2015-01-12 08:41:37
Source Voltage;0,2500;0,2503;-0,2997;0,0000;0,0000;0,08072;-0,00144;-0,00532;-0,00144;-0,00409;0,0000;173,8;2015-01-12 08:41:38
Source Voltage;0,3000;0,3006;-0,2997;0,0000;0,0000;0,08072;8E-05;-0,00532;8E-05;-0,00377;0,0000;3757,5;2015-01-12 08:41:38
Source Voltage;0,3500;0,3503;-0,2997;0,0000;0,0000;0,08072;0,00227;-0,00532;0,00227;-0,00334;0,0000;154,3;2015-01-12 08:41:39
Source Voltage;0,4000;0,4006;-0,2997;0,0000;0,0000;0,08072;0,0053;-0,00532;0,0053;-0,00276;0,0000;75,6;2015-01-12 08:41:40
Source Voltage;0,4500;0,4504;-0,2997;0,0000;0,0000;0,08072;0,00934;-0,00532;0,00934;-0,002;0,0000;48,2;2015-01-12 08:41:40
Source Voltage;0,5000;0,5004;-0,2997;0,0000;0,0000;0,08072;0,01438;-0,00532;0,01438;-0,00104;0,0000;34,8;2015-01-12 08:41:41
Source Voltage;0,5500;0,5500;-0,2997;0,0000;0,0000;0,08072;0,02044;-0,00532;0,02044;0,00015;0,0000;26,9;2015-01-12 08:41:41
Source Voltage;0,6000;0,5999;-0,2997;0,0000;0,0000;0,08072;0,0274;-0,00532;0,0274;0,00158;0,0000;21,9;2015-01-12 08:41:42
