2015-01-12 11:51:22
Mode;Output voltage (V);Voltage Measured (V);Min Voltage (V);Max Voltage (V);Average Voltage (V);Output Current (A);Current Measured (A);Min Current (A);Max Current (A);Average Current (A);Average Power (W);Resistance (ohm);Time
Source Voltage;-0,3;-0,2988;-0,2988;-0,2988;0,0000;0,08072;-0,01876;-0,01876;-0,01876;-0,01876;0,0000;15,9;2015-01-12 11:51:22
Source Voltage;-0,2500;-0,2491;-0,2988;0,0000;0,0000;0,08072;-0,01864;-0,01876;-0,01864;-0,0187;0,0000;13,4;2015-01-12 11:51:23
Source Voltage;-0,2000;-0,1992;-0,2988;0,0000;0,0000;0,08072;-0,01858;-0,01876;-0,01858;-0,01866;0,0000;10,7;2015-01-12 11:51:23
Source Voltage;-0,1500;-0,1492;-0,2988;0,0000;0,0000;0,08072;-0,0185;-0,01876;-0,0185;-0,01862;0,0000;8,1;2015-01-12 11:51:24
Source Voltage;-0,1000;-0,0991;-0,2988;0,0000;0,0000;0,08072;-0,01836;-0,01876;-0,01836;-0,01857;0,0000;5,4;2015-01-12 11:51:25
Source Voltage;-0,0500;-0,0487;-0,2988;0,0000;0,0000;0,08072;-0,01822;-0,01876;-0,01822;-0,01851;0,0000;2,7;2015-01-12 11:51:25
Source Voltage;0,0000;0,0014;-0,2988;0,0000;0,0000;0,08072;-0,01802;-0,01876;-0,01802;-0,01844;0,0000;0,1;2015-01-12 11:51:26
Source Voltage;0,0500;0,0512;-0,2988;0,0000;0,0000;0,08072;-0,01775;-0,01876;-0,01775;-0,01835;0,0000;2,9;2015-01-12 11:51:26
Source Voltage;0,1000;0,1014;-0,2988;0,0000;0,0000;0,08072;-0,01736;-0,01876;-0,01736;-0,01824;0,0000;5,8;2015-01-12 11:51:27
Source Voltage;0,1500;0,1509;-0,2988;0,0000;0,0000;0,08072;-0,01682;-0,01876;-0,01682;-0,0181;0,0000;9;2015-01-12 11:51:28
Source Voltage;0,2000;0,2009;-0,2988;0,0000;0,0000;0,08072;-0,01602;-0,01876;-0,01602;-0,01791;0,0000;12,5;2015-01-12 11:51:28
Source Voltage;0,2500;0,2507;-0,2988;0,0000;0,0000;0,08072;-0,01494;-0,01876;-0,01494;-0,01766;0,0000;16,8;2015-01-12 11:51:29
Source Voltage;0,3000;0,3013;-0,2988;0,0000;0,0000;0,08072;-0,0133;-0,01876;-0,0133;-0,01732;0,0000;22,7;2015-01-12 11:51:29
Source Voltage;0,3500;0,3510;-0,2988;0,0000;0,0000;0,08072;-0,01106;-0,01876;-0,01106;-0,01687;0,0000;31,7;2015-01-12 11:51:30
Source Voltage;0,4000;0,4012;-0,2988;0,0000;0,0000;0,08072;-0,00818;-0,01876;-0,00818;-0,01629;0,0000;49;2015-01-12 11:51:31
Source Voltage;0,4500;0,4509;-0,2988;0,0000;0,0000;0,08072;-0,0045;-0,01876;-0,0045;-0,01555;0,0000;100,2;2015-01-12 11:51:31
Source Voltage;0,5000;0,5006;-0,2988;0,0000;0,0000;0,08072;-0,00022;-0,01876;-0,00022;-0,01465;0,0000;2275,5;2015-01-12 11:51:32
Source Voltage;0,5500;0,5507;-0,2988;0,0000;0,0000;0,08072;0,00446;-0,01876;0,00446;-0,01359;0,0000;123,5;2015-01-12 11:51:33
Source Voltage;0,6000;0,6004;-0,2988;0,0000;0,0000;0,08072;0,00928;-0,01876;0,00928;-0,01239;0,0000;64,7;2015-01-12 11:51:33
