2015-01-12 11:58:47
Mode;Output voltage (V);Voltage Measured (V);Min Voltage (V);Max Voltage (V);Average Voltage (V);Output Current (A);Current Measured (A);Min Current (A);Max Current (A);Average Current (A);Average Power (W);Resistance (ohm);Time
Source Voltage;-0,3;-0,2985;-0,2985;-0,2985;0,0000;0,08072;-0,01834;-0,01834;-0,01834;-0,01834;0,0000;16,3;2015-01-12 11:58:47
Source Voltage;-0,2500;-0,2493;-0,2985;0,0000;0,0000;0,08072;-0,01828;-0,01834;-0,01828;-0,01831;0,0000;13,6;2015-01-12 11:58:48
Source Voltage;-0,2000;-0,1993;-0,2985;0,0000;0,0000;0,08072;-0,01822;-0,01834;-0,01822;-0,01828;0,0000;10,9;2015-01-12 11:58:48
Source Voltage;-0,1500;-0,1492;-0,2985;0,0000;0,0000;0,08072;-0,01818;-0,01834;-0,01818;-0,01826;0,0000;8,2;2015-01-12 11:58:49
Source Voltage;-0,1000;-0,0989;-0,2985;0,0000;0,0000;0,08072;-0,01812;-0,01834;-0,01812;-0,01823;0,0000;5,5;2015-01-12 11:58:50
Source Voltage;-0,0500;-0,0489;-0,2985;0,0000;0,0000;0,08072;-0,01802;-0,01834;-0,01802;-0,0182;0,0000;2,7;2015-01-12 11:58:50
Source Voltage;0,0000;0,0012;-0,2985;0,0000;0,0000;0,08072;-0,0179;-0,01834;-0,0179;-0,01816;0,0000;0,1;2015-01-12 11:58:51
Source Voltage;0,0500;0,0513;-0,2985;0,0000;0,0000;0,08072;-0,01772;-0,01834;-0,01772;-0,0181;0,0000;2,9;2015-01-12 11:58:51
Source Voltage;0,1000;0,1013;-0,2985;0,0000;0,0000;0,08072;-0,01748;-0,01834;-0,01748;-0,01803;0,0000;5,8;2015-01-12 11:58:52
Source Voltage;0,1500;0,1517;-0,2985;0,0000;0,0000;0,08072;-0,01716;-0,01834;-0,01716;-0,01794;0,0000;8,8;2015-01-12 11:58:53
Source Voltage;0,2000;0,2016;-0,2985;0,0000;0,0000;0,08072;-0,01668;-0,01834;-0,01668;-0,01783;0,0000;12,1;2015-01-12 11:58:53
Source Voltage;0,2500;0,2515;-0,2985;0,0000;0,0000;0,08072;-0,01592;-0,01834;-0,01592;-0,01767;0,0000;15,8;2015-01-12 11:58:54
Source Voltage;0,3000;0,3010;-0,2985;0,0000;0,0000;0,08072;-0,01484;-0,01834;-0,01484;-0,01745;0,0000;20,3;2015-01-12 11:58:54
Source Voltage;0,3500;0,3513;-0,2985;0,0000;0,0000;0,08072;-0,01312;-0,01834;-0,01312;-0,01714;0,0000;26,8;2015-01-12 11:58:55
Source Voltage;0,4000;0,4007;-0,2985;0,0000;0,0000;0,08072;-0,01048;-0,01834;-0,01048;-0,0167;0,0000;38,2;2015-01-12 11:58:56
Source Voltage;0,4500;0,4508;-0,2985;0,0000;0,0000;0,08072;-0,00678;-0,01834;-0,00678;-0,01608;0,0000;66,5;2015-01-12 11:58:56
Source Voltage;0,5000;0,5008;-0,2985;0,0000;0,0000;0,08072;-0,00172;-0,01834;-0,00172;-0,01524;0,0000;291,2;2015-01-12 11:58:57
Source Voltage;0,5500;0,5510;-0,2985;0,0000;0,0000;0,08072;0,00442;-0,01834;0,00442;-0,01415;0,0000;124,7;2015-01-12 11:58:58
Source Voltage;0,6000;0,6009;-0,2985;0,0000;0,0000;0,08072;0,01148;-0,01834;0,01148;-0,0128;0,0000;52,3;2015-01-12 11:58:58
