2015-01-12 11:22:17
Mode;Output voltage (V);Voltage Measured (V);Min Voltage (V);Max Voltage (V);Average Voltage (V);Output Current (A);Current Measured (A);Min Current (A);Max Current (A);Average Current (A);Average Power (W);Resistance (ohm);Time
Source Voltage;-0,3;-0,2993;-0,2993;-0,2993;0,0000;0,08072;-0,01234;-0,01234;-0,01234;-0,01234;0,0000;24,3;2015-01-12 11:22:18
Source Voltage;-0,2500;-0,2493;-0,2993;0,0000;0,0000;0,08072;-0,01222;-0,01234;-0,01222;-0,01228;0,0000;20,4;2015-01-12 11:22:18
Source Voltage;-0,2000;-0,1994;-0,2993;0,0000;0,0000;0,08072;-0,01202;-0,01234;-0,01202;-0,01219;0,0000;16,6;2015-01-12 11:22:19
Source Voltage;-0,1500;-0,1488;-0,2993;0,0000;0,0000;0,08072;-0,01182;-0,01234;-0,01182;-0,0121;0,0000;12,6;2015-01-12 11:22:19
Source Voltage;-0,1000;-0,0984;-0,2993;0,0000;0,0000;0,08072;-0,01156;-0,01234;-0,01156;-0,01199;0,0000;8,5;2015-01-12 11:22:20
Source Voltage;-0,0500;-0,0490;-0,2993;0,0000;0,0000;0,08072;-0,01122;-0,01234;-0,01122;-0,01186;0,0000;4,4;2015-01-12 11:22:21
Source Voltage;0,0000;0,0017;-0,2993;0,0000;0,0000;0,08072;-0,01084;-0,01234;-0,01084;-0,01171;0,0000;0,2;2015-01-12 11:22:21
Source Voltage;0,0500;0,0510;-0,2993;0,0000;0,0000;0,08072;-0,01036;-0,01234;-0,01036;-0,01154;0,0000;4,9;2015-01-12 11:22:22
Source Voltage;0,1000;0,1014;-0,2993;0,0000;0,0000;0,08072;-0,00964;-0,01234;-0,00964;-0,01133;0,0000;10,5;2015-01-12 11:22:22
Source Voltage;0,1500;0,1509;-0,2993;0,0000;0,0000;0,08072;-0,0087;-0,01234;-0,0087;-0,01107;0,0000;17,3;2015-01-12 11:22:23
Source Voltage;0,2000;0,2012;-0,2993;0,0000;0,0000;0,08072;-0,00746;-0,01234;-0,00746;-0,01074;0,0000;27;2015-01-12 11:22:24
Source Voltage;0,2500;0,2508;-0,2993;0,0000;0,0000;0,08072;-0,00578;-0,01234;-0,00578;-0,01033;0,0000;43,4;2015-01-12 11:22:24
Source Voltage;0,3000;0,3010;-0,2993;0,0000;0,0000;0,08072;-0,00364;-0,01234;-0,00364;-0,00982;0,0000;82,7;2015-01-12 11:22:25
Source Voltage;0,3500;0,3510;-0,2993;0,0000;0,0000;0,08072;-0,00084;-0,01234;-0,00084;-0,00918;0,0000;417,9;2015-01-12 11:22:25
Source Voltage;0,4000;0,4009;-0,2993;0,0000;0,0000;0,08072;0,0027;-0,01234;0,0027;-0,00839;0,0000;148,5;2015-01-12 11:22:26
Source Voltage;0,4500;0,4506;-0,2993;0,0000;0,0000;0,08072;0,00712;-0,01234;0,00712;-0,00742;0,0000;63,3;2015-01-12 11:22:27
Source Voltage;0,5000;0,5006;-0,2993;0,0000;0,0000;0,08072;0,01226;-0,01234;0,01226;-0,00626;0,0000;40,8;2015-01-12 11:22:27
Source Voltage;0,5500;0,5507;-0,2993;0,0000;0,0000;0,08072;0,0203;-0,01234;0,0203;-0,00478;0,0000;27,1;2015-01-12 11:22:28
Source Voltage;0,6000;0,6002;-0,2993;0,0000;0,0000;0,08072;0,02916;-0,01234;0,02916;-0,00299;0,0000;20,6;2015-01-12 11:22:28
